tablet,time,kidnapped_time
green,16/04/2016 12:05:40.04,0.0
green,16/04/2016 12:06:34.11,0.03
green,16/04/2016 12:07:49.19,0.03
green,16/04/2016 12:07:52.05,0.95
green,16/04/2016 12:07:53.16,0.99
green,16/04/2016 12:07:55.08,1.01
green,16/04/2016 12:08:06.16,10.08
green,16/04/2016 12:08:08.11,0.93
green,16/04/2016 12:08:11.14,1.12
green,16/04/2016 12:08:13.01,0.85
green,16/04/2016 12:08:29.09,1.04
green,16/04/2016 12:08:31.08,0.84
green,16/04/2016 12:08:40.04,0.03
green,16/04/2016 12:08:41.11,1.03
green,16/04/2016 12:09:06.09,0.05
green,16/04/2016 12:09:09.06,2.05
green,16/04/2016 12:09:12.11,0.09
green,16/04/2016 12:09:14.22,0.02
green,16/04/2016 12:09:29.09,0.04
green,16/04/2016 12:10:11.02,0.97
green,16/04/2016 12:10:39.14,0.13
green,16/04/2016 12:10:45.10,0.88
green,16/04/2016 12:10:47.18,1.12
green,16/04/2016 12:10:56.19,0.12
green,16/04/2016 12:11:01.04,0.85
green,16/04/2016 12:11:24.10,0.04
green,16/04/2016 12:11:27.24,0.04
green,16/04/2016 12:11:31.00,2.73
green,16/04/2016 12:13:35.00,0.87
green,16/04/2016 12:14:05.03,0.81
green,16/04/2016 12:14:08.11,1.08
green,16/04/2016 12:14:33.06,1.87
green,16/04/2016 12:14:41.04,0.88
green,16/04/2016 12:14:58.04,1.91
green,16/04/2016 12:15:00.05,0.83
green,16/04/2016 12:15:01.08,0.01
green,16/04/2016 12:15:02.13,0.05
green,16/04/2016 12:15:17.01,3.83
green,16/04/2016 12:15:18.16,0.05
green,16/04/2016 12:15:22.02,1.78
green,16/04/2016 12:15:28.02,0.83
green,16/04/2016 12:15:31.04,0.9
green,16/04/2016 12:15:46.05,13.91
green,16/04/2016 12:16:03.03,14.97
green,16/04/2016 12:16:06.16,0.02
green,16/04/2016 12:16:14.05,0.89
green,16/04/2016 12:16:15.14,0.03
green,16/04/2016 12:16:29.04,0.84
green,16/04/2016 12:16:54.00,0.85
green,16/04/2016 12:16:57.06,0.85
green,16/04/2016 12:17:01.05,0.0
green,16/04/2016 12:17:07.22,0.01
green,16/04/2016 12:17:17.07,0.01
green,16/04/2016 12:17:52.17,0.01
green,16/04/2016 12:19:01.14,0.05
green,16/04/2016 12:19:03.06,1.88
green,16/04/2016 12:20:24.02,0.02
green,16/04/2016 12:23:04.00,0.84
green,16/04/2016 12:23:08.16,1.09
green,16/04/2016 12:23:14.08,0.92
green,16/04/2016 12:23:24.14,0.06
green,16/04/2016 12:23:38.14,0.02
green,16/04/2016 12:23:38.23,0.0
green,16/04/2016 12:33:46.10,0.05
green,16/04/2016 12:35:11.03,0.02
green,16/04/2016 12:35:26.04,0.0
green,16/04/2016 12:36:00.08,0.05
green,16/04/2016 12:37:32.03,5.9
green,16/04/2016 12:37:40.03,3.97
green,16/04/2016 12:37:54.20,12.13
green,16/04/2016 12:38:00.14,5.0
green,16/04/2016 12:38:34.11,0.05
green,16/04/2016 12:39:27.23,0.03
green,16/04/2016 12:39:31.01,0.0
green,16/04/2016 12:40:34.12,0.88
green,16/04/2016 12:40:56.14,0.89
green,16/04/2016 12:41:03.15,0.04
green,16/04/2016 12:41:04.20,0.05
green,16/04/2016 12:41:16.04,0.99
green,16/04/2016 12:41:20.13,0.01
green,16/04/2016 12:41:24.14,0.07
green,16/04/2016 12:45:42.01,1.85
green,16/04/2016 12:46:38.00,8.0
green,16/04/2016 12:46:55.18,2.18
green,16/04/2016 12:47:26.24,0.0
green,16/04/2016 12:47:44.41,0.07
green,16/04/2016 12:48:44.14,0.12
green,16/04/2016 12:48:48.03,0.91
green,16/04/2016 12:48:51.14,0.03
green,16/04/2016 12:49:07.14,0.07
green,16/04/2016 12:49:20.26,0.03
green,16/04/2016 12:49:21.07,0.0
green,16/04/2016 12:49:21.25,0.04
green,16/04/2016 12:49:30.01,0.86
green,16/04/2016 12:49:46.04,0.86
green,16/04/2016 12:49:53.03,0.87
green,16/04/2016 12:49:55.18,0.03
green,16/04/2016 12:49:58.06,0.82
green,16/04/2016 12:49:59.11,0.03
green,16/04/2016 12:50:03.22,0.04
green,16/04/2016 12:50:32.14,0.02
green,16/04/2016 12:50:35.00,2.81
green,16/04/2016 12:50:47.05,2.02
green,16/04/2016 12:50:56.07,1.98
green,16/04/2016 12:50:58.08,1.94
green,16/04/2016 12:51:23.01,1.0
green,16/04/2016 12:51:25.02,0.81
green,16/04/2016 12:52:23.00,4.94
green,16/04/2016 12:52:28.09,1.06
green,16/04/2016 12:53:07.07,3.02
green,16/04/2016 12:53:40.06,0.0
green,16/04/2016 12:53:40.12,0.0
green,16/04/2016 12:54:05.20,0.01
green,16/04/2016 12:54:26.23,0.01
green,16/04/2016 12:55:02.17,0.0
green,16/04/2016 12:55:07.14,0.99
green,16/04/2016 12:55:12.19,0.04
green,16/04/2016 12:55:43.06,0.89
green,16/04/2016 12:56:09.13,0.02
green,16/04/2016 12:56:34.02,1.84
green,16/04/2016 12:57:02.09,0.89
green,16/04/2016 12:57:17.10,1.98
green,16/04/2016 12:57:38.15,0.01
green,16/04/2016 12:57:52.12,0.05
green,16/04/2016 12:58:03.36,0.11
green,16/04/2016 12:58:05.06,0.96
green,16/04/2016 12:59:05.00,1.78
green,16/04/2016 12:59:14.12,1.92
green,16/04/2016 12:59:24.12,0.07
green,16/04/2016 12:59:35.01,0.89
green,16/04/2016 13:00:04.20,0.06
green,16/04/2016 13:00:11.08,0.82
green,16/04/2016 13:00:16.09,0.96
green,16/04/2016 13:00:18.14,0.05
green,16/04/2016 13:00:59.01,0.99
green,16/04/2016 13:01:08.21,0.01
green,16/04/2016 13:01:31.04,0.83
green,16/04/2016 13:01:33.08,0.99
green,16/04/2016 13:02:12.02,0.82
green,16/04/2016 13:02:12.07,0.0
green,16/04/2016 13:02:14.11,0.01
green,16/04/2016 13:03:02.14,8.93
green,16/04/2016 13:03:03.23,0.04
green,16/04/2016 13:03:07.01,0.0
green,16/04/2016 13:03:13.00,0.8
green,16/04/2016 13:03:19.01,0.82
green,16/04/2016 13:03:21.22,0.05
green,16/04/2016 13:04:31.01,6.98
green,16/04/2016 13:05:23.10,0.86
green,16/04/2016 13:06:20.14,0.89
green,16/04/2016 13:07:09.12,0.02
green,16/04/2016 13:07:28.18,1.99
green,16/04/2016 13:07:32.04,1.87
green,16/04/2016 13:07:34.09,1.07
green,16/04/2016 13:07:34.17,0.04
green,16/04/2016 13:07:37.11,1.04
green,16/04/2016 13:07:39.19,0.94
green,16/04/2016 13:08:01.23,0.02
green,16/04/2016 13:13:00.18,4.18
green,16/04/2016 13:13:08.23,0.0
green,16/04/2016 13:13:13.09,0.04
green,16/04/2016 13:13:19.03,1.87
green,16/04/2016 13:13:32.01,0.81
green,16/04/2016 13:13:32.06,0.02
green,16/04/2016 13:13:42.11,1.97
green,16/04/2016 13:13:43.07,0.05
green,16/04/2016 13:13:46.01,0.89
green,16/04/2016 13:13:47.14,0.08
green,16/04/2016 13:13:48.01,0.01
green,16/04/2016 13:13:54.01,1.92
green,16/04/2016 13:13:55.24,0.01
green,16/04/2016 13:14:03.25,0.04
green,16/04/2016 13:14:07.06,0.94
green,16/04/2016 13:14:18.07,2.07
green,16/04/2016 13:14:21.13,1.12
green,16/04/2016 13:14:24.02,0.85
green,16/04/2016 13:14:34.10,0.04
green,16/04/2016 13:14:35.03,0.9
green,16/04/2016 13:14:36.18,0.12
green,16/04/2016 13:14:37.25,0.05
green,16/04/2016 13:14:40.13,0.93
green,16/04/2016 13:14:41.24,0.01
green,16/04/2016 13:14:43.15,0.06
green,16/04/2016 13:14:51.01,0.83
green,16/04/2016 13:15:01.12,0.01
green,16/04/2016 13:15:01.17,0.0
green,16/04/2016 13:15:04.17,2.03
green,16/04/2016 13:15:09.01,0.73
green,16/04/2016 13:15:39.04,0.03
green,16/04/2016 13:15:42.06,0.06
green,16/04/2016 13:16:09.02,1.93
green,16/04/2016 13:16:21.07,0.87
green,16/04/2016 13:16:32.15,0.11
green,16/04/2016 13:16:39.11,0.92
green,16/04/2016 13:16:44.00,0.75
green,16/04/2016 13:16:48.05,0.8
green,16/04/2016 13:18:28.09,1.96
green,16/04/2016 13:18:28.19,0.01
tablet,time,kidnapped_time
blue,16/04/2016 18:19:48.00,1.0
blue,16/04/2016 18:19:48.01,0.0
blue,16/04/2016 18:19:58.08,0.0
blue,16/04/2016 18:20:22.22,0.03
blue,16/04/2016 18:20:24.11,0.94
blue,16/04/2016 18:20:36.07,0.01
blue,16/04/2016 18:22:15.08,0.08
blue,16/04/2016 18:22:15.11,0.0
blue,16/04/2016 18:22:15.18,0.0
blue,16/04/2016 18:22:46.14,0.01
blue,16/04/2016 18:23:07.01,0.0
blue,16/04/2016 18:23:39.05,1.84
blue,16/04/2016 18:23:48.09,0.02
blue,16/04/2016 18:23:49.00,0.86
blue,16/04/2016 18:24:02.00,0.95
blue,16/04/2016 18:24:16.13,0.11
blue,16/04/2016 18:24:48.04,0.03
blue,16/04/2016 18:25:11.08,0.05
blue,16/04/2016 18:26:06.04,0.95
blue,16/04/2016 18:26:09.23,0.05
blue,16/04/2016 18:27:12.23,0.12
blue,16/04/2016 18:29:32.12,0.95
blue,16/04/2016 18:30:17.16,0.0
blue,16/04/2016 18:30:19.15,0.09
blue,16/04/2016 18:30:26.20,0.08
blue,16/04/2016 18:30:49.20,0.03
blue,16/04/2016 18:31:04.21,0.06
blue,16/04/2016 18:31:09.02,2.85
blue,16/04/2016 18:32:07.05,0.0
blue,16/04/2016 18:33:58.01,0.86
blue,16/04/2016 18:34:46.06,0.91
blue,16/04/2016 18:34:49.07,0.99
blue,16/04/2016 18:34:53.12,0.02
blue,16/04/2016 18:34:54.11,0.01
blue,16/04/2016 18:35:04.02,0.99
blue,16/04/2016 18:35:04.20,0.04
blue,16/04/2016 18:35:05.19,0.02
blue,16/04/2016 18:37:44.13,0.98
blue,16/04/2016 18:37:53.16,0.02
blue,16/04/2016 18:38:15.16,0.11
blue,16/04/2016 18:38:30.09,0.85
blue,16/04/2016 18:39:19.01,0.86
blue,16/04/2016 18:39:19.10,0.07
blue,16/04/2016 18:39:39.03,0.84
blue,16/04/2016 18:39:57.03,0.01
blue,16/04/2016 18:39:59.01,0.75
blue,16/04/2016 18:40:22.15,0.04
blue,16/04/2016 18:40:47.06,0.83
blue,16/04/2016 18:40:48.01,0.88
blue,16/04/2016 18:40:48.12,0.02
blue,16/04/2016 18:40:49.01,0.84
blue,16/04/2016 18:40:59.14,0.09
blue,16/04/2016 18:41:00.03,0.02
blue,16/04/2016 18:41:00.23,0.02
blue,16/04/2016 18:41:01.06,0.0
blue,16/04/2016 18:41:01.12,0.01
blue,16/04/2016 18:41:01.18,0.01
blue,16/04/2016 18:41:03.02,1.77
blue,16/04/2016 18:41:14.19,0.1
blue,16/04/2016 18:41:36.07,0.02
blue,16/04/2016 18:41:39.04,0.81
blue,16/04/2016 18:41:42.15,2.01
blue,16/04/2016 18:41:49.18,0.12
blue,16/04/2016 18:42:02.05,5.88
blue,16/04/2016 18:42:12.04,1.0
blue,16/04/2016 18:42:20.08,0.02
blue,16/04/2016 18:42:41.08,2.91
blue,16/04/2016 18:45:22.15,0.09
blue,16/04/2016 18:46:37.02,0.79
blue,16/04/2016 18:46:40.03,0.03
blue,16/04/2016 18:47:46.19,0.11
blue,16/04/2016 18:47:51.10,0.08
blue,16/04/2016 18:48:39.12,1.92
blue,16/04/2016 18:49:00.09,20.95
blue,16/04/2016 18:49:25.10,0.94
blue,16/04/2016 18:49:26.11,0.06
blue,16/04/2016 18:49:40.16,14.0
blue,16/04/2016 18:49:42.09,0.03
blue,16/04/2016 18:49:50.05,4.8
blue,16/04/2016 18:50:13.07,15.99
blue,16/04/2016 18:50:28.12,3.96
blue,16/04/2016 18:51:11.09,3.99
blue,16/04/2016 18:53:02.01,1.85
blue,16/04/2016 18:53:32.02,0.02
blue,16/04/2016 18:54:06.13,0.04
blue,16/04/2016 18:54:23.00,0.85
blue,16/04/2016 18:54:56.02,0.95
blue,16/04/2016 18:54:58.10,0.93
blue,16/04/2016 18:55:02.01,1.8
blue,16/04/2016 18:55:05.01,2.78
blue,16/04/2016 18:55:35.02,1.88
blue,16/04/2016 18:55:37.18,0.05
blue,16/04/2016 18:56:28.04,1.89
blue,16/04/2016 18:56:34.04,1.03
blue,16/04/2016 18:57:07.12,1.06
blue,16/04/2016 18:57:21.03,3.02
blue,16/04/2016 18:57:26.05,0.87
blue,16/04/2016 18:57:41.11,0.04
blue,16/04/2016 18:57:42.01,0.0
blue,16/04/2016 18:57:42.10,0.01
blue,16/04/2016 18:57:50.03,0.81
blue,16/04/2016 18:58:47.02,0.84
blue,16/04/2016 19:00:34.11,0.06
blue,16/04/2016 19:00:48.05,0.92
blue,16/04/2016 19:00:54.09,0.0
blue,16/04/2016 19:01:02.02,0.01
blue,16/04/2016 19:01:07.13,0.91
blue,16/04/2016 19:01:40.02,2.01
blue,16/04/2016 19:04:57.01,4.01
blue,16/04/2016 19:05:27.24,0.0
blue,16/04/2016 19:05:42.11,0.94
blue,16/04/2016 19:05:54.01,3.77
blue,16/04/2016 19:05:56.07,1.84
blue,16/04/2016 19:06:04.08,2.07
blue,16/04/2016 19:06:07.09,0.07
blue,16/04/2016 19:07:00.11,0.06
blue,16/04/2016 19:08:35.06,0.03
blue,16/04/2016 19:08:40.15,4.01
blue,16/04/2016 19:08:43.13,0.08
blue,16/04/2016 19:08:46.21,0.03
blue,16/04/2016 19:08:48.10,0.98
