16/04/2016 19:37:51.03,22, 163, '3', 'false'
16/04/2016 19:37:51.03,32, 169, '-3', 'true'
16/04/2016 19:37:51.03,21, 36, '-3', 'true'
16/04/2016 19:37:51.03,50, 189, '3', 'true'
16/04/2016 19:37:51.03,11, 3, '3', 'true'
16/04/2016 19:38:05.06,31, 157, '-3', 'false'
16/04/2016 19:38:05.06,14, 79, '-3', 'false'
16/04/2016 19:38:05.06,69, 55, '3', 'false'
16/04/2016 19:38:05.06,22, 163, '3', 'false'
16/04/2016 19:38:05.06,32, 169, '-3', 'true'
16/04/2016 19:38:05.06,21, 36, '-3', 'true'
16/04/2016 19:38:05.06,50, 189, '3', 'true'
16/04/2016 19:38:05.06,11, 3, '3', 'true'
