tablet,time,grasped_time
green,16/04/2016 12:43:38.24,5.1
green,16/04/2016 12:43:49.24,2.13
green,16/04/2016 12:44:52.18,4.03
green,16/04/2016 12:47:08.15,98.14
green,16/04/2016 12:47:10.24,2.04
green,16/04/2016 12:47:30.02,3.91
green,16/04/2016 12:47:36.11,4.0
green,16/04/2016 12:47:47.11,7.95
green,16/04/2016 12:48:16.11,18.06
green,16/04/2016 12:48:19.19,3.01
green,16/04/2016 12:48:28.23,8.08
green,16/04/2016 12:48:31.17,2.08
green,16/04/2016 12:48:35.25,2.03
green,16/04/2016 12:48:41.28,5.24
green,16/04/2016 12:48:50.04,2.98
green,16/04/2016 12:48:55.01,2.89
green,16/04/2016 12:48:58.11,2.07
green,16/04/2016 12:49:10.25,10.25
green,16/04/2016 12:49:17.14,2.88
green,16/04/2016 12:49:28.14,10.99
green,16/04/2016 12:49:32.26,4.08
green,16/04/2016 12:49:43.25,10.17
green,16/04/2016 12:49:48.14,3.86
green,16/04/2016 12:49:54.11,4.88
green,16/04/2016 12:49:58.08,3.9
green,16/04/2016 12:50:04.19,2.11
green,16/04/2016 12:50:16.01,9.94
green,16/04/2016 12:50:19.13,2.07
green,16/04/2016 12:51:13.18,52.01
green,16/04/2016 12:51:19.02,2.83
green,16/04/2016 12:51:27.11,7.05
green,16/04/2016 12:52:32.00,63.9
green,16/04/2016 12:52:55.08,18.85
green,16/04/2016 12:53:40.26,3.2
green,16/04/2016 12:53:45.14,2.09
green,16/04/2016 12:54:33.14,2.97
green,16/04/2016 12:55:04.23,12.22
green,16/04/2016 12:55:09.15,4.08
green,16/04/2016 12:55:22.23,13.03
green,16/04/2016 12:55:43.17,6.17
green,16/04/2016 12:57:32.08,66.98
green,16/04/2016 12:57:40.03,2.93
green,16/04/2016 12:57:51.12,3.89
green,16/04/2016 12:58:06.14,15.02
green,16/04/2016 12:58:13.15,6.14
green,16/04/2016 12:58:47.15,2.92
green,16/04/2016 12:59:00.10,10.97
green,16/04/2016 12:59:24.00,9.82
green,16/04/2016 12:59:40.20,6.14
green,16/04/2016 13:00:00.03,3.03
green,16/04/2016 13:00:02.13,2.08
green,16/04/2016 13:00:06.11,3.06
green,16/04/2016 13:01:10.15,2.01
green,16/04/2016 13:03:11.09,17.89
green,16/04/2016 13:04:31.03,24.89
green,16/04/2016 13:05:03.20,3.03
green,16/04/2016 13:05:09.25,3.22
green,16/04/2016 13:05:24.26,2.24
green,16/04/2016 13:07:21.14,2.03
green,16/04/2016 13:07:25.15,2.14
green,16/04/2016 13:07:29.11,2.99
green,16/04/2016 13:07:35.01,2.75
green,16/04/2016 13:07:59.17,2.0
green,16/04/2016 13:13:04.10,287.99
green,16/04/2016 13:13:14.07,7.92
green,16/04/2016 13:13:32.00,14.78
green,16/04/2016 13:13:47.06,10.91
green,16/04/2016 13:13:57.15,9.06
green,16/04/2016 13:13:59.19,2.0
green,16/04/2016 13:14:07.21,5.12
green,16/04/2016 13:14:10.06,2.01
green,16/04/2016 13:14:50.03,37.88
green,16/04/2016 13:15:13.04,21.9
green,16/04/2016 13:15:21.11,2.08
green,16/04/2016 13:15:25.07,2.92
green,16/04/2016 13:15:30.07,4.97
green,16/04/2016 13:15:35.19,3.11
green,16/04/2016 13:15:41.21,4.17
green,16/04/2016 13:15:49.18,7.97
green,16/04/2016 13:16:02.21,6.05
green,16/04/2016 13:16:16.17,10.07
green,16/04/2016 13:16:20.01,2.92
green,16/04/2016 13:16:23.12,2.96
green,16/04/2016 13:16:25.19,2.02
green,16/04/2016 13:16:28.23,3.03
green,16/04/2016 13:16:34.21,5.95
green,16/04/2016 13:16:47.20,9.09
green,16/04/2016 13:17:24.25,37.05
green,16/04/2016 13:17:36.07,5.91
green,16/04/2016 13:17:41.17,3.05
green,16/04/2016 13:17:45.13,2.0
green,16/04/2016 13:17:52.00,2.0
green,16/04/2016 13:17:54.10,2.05
green,16/04/2016 13:17:58.04,3.84
green,16/04/2016 13:18:12.22,2.17
green,16/04/2016 13:18:22.15,7.12
green,16/04/2016 13:18:39.19,16.08
green,16/04/2016 13:18:43.19,2.05
green,16/04/2016 13:18:50.17,4.13
green,16/04/2016 13:18:58.14,5.12
green,16/04/2016 13:19:02.02,2.98
green,16/04/2016 13:19:07.22,4.09
green,16/04/2016 13:19:13.11,3.07
tablet,time,grasped_time
blue,16/04/2016 18:20:28.03,8.99
blue,16/04/2016 18:20:32.10,4.05
blue,16/04/2016 18:20:39.05,3.01
blue,16/04/2016 18:20:56.02,13.88
blue,16/04/2016 18:21:04.23,2.23
blue,16/04/2016 18:21:40.18,7.12
blue,16/04/2016 18:22:17.12,8.12
blue,16/04/2016 18:22:29.01,11.86
blue,16/04/2016 18:22:35.04,4.99
blue,16/04/2016 18:23:09.04,5.93
blue,16/04/2016 18:23:47.27,10.13
blue,16/04/2016 18:24:48.00,33.83
blue,16/04/2016 18:25:38.10,11.0
blue,16/04/2016 18:25:47.05,6.94
blue,16/04/2016 18:26:32.18,9.06
blue,16/04/2016 18:26:37.16,4.9
blue,16/04/2016 18:27:00.51,6.37
blue,16/04/2016 18:28:14.09,4.89
blue,16/04/2016 18:29:45.15,5.15
blue,16/04/2016 18:30:04.10,2.97
blue,16/04/2016 18:30:27.01,2.78
blue,16/04/2016 18:31:00.20,5.09
blue,16/04/2016 18:31:19.00,5.92
blue,16/04/2016 18:31:21.40,2.4
blue,16/04/2016 18:31:45.13,14.03
blue,16/04/2016 18:32:19.33,13.33
blue,16/04/2016 18:33:14.07,41.01
blue,16/04/2016 18:33:26.25,8.24
blue,16/04/2016 18:34:49.10,79.93
blue,16/04/2016 18:35:06.09,3.9
blue,16/04/2016 18:35:44.26,3.01
blue,16/04/2016 18:36:42.21,41.98
blue,16/04/2016 18:37:49.15,5.92
blue,16/04/2016 18:37:53.08,2.02
blue,16/04/2016 18:38:22.01,6.81
blue,16/04/2016 18:39:23.11,55.99
blue,16/04/2016 18:40:00.04,4.04
blue,16/04/2016 18:41:16.03,20.9
blue,16/04/2016 18:41:34.00,5.96
blue,16/04/2016 18:41:47.15,12.15
blue,16/04/2016 18:42:03.03,15.82
blue,16/04/2016 18:42:12.19,2.05
blue,16/04/2016 18:42:24.21,3.09
blue,16/04/2016 18:42:31.03,3.99
